mid_date,lat,lon,v [m/yr],v_error [m/yr],vx [m/yr],vx_error [m/yr],vy [m/yr],vy_error [m/yr],date_dt [days],mission,satellite,epsg
2021-12-23 00:08:42.579022080,79.47,25.02,1446.0,9.0,1175.0,8.8,843.0,8.6,205,S,2B,3413
2020-12-28 00:08:42.079024128,79.47,25.02,1630.0,3.0,1338.0,3.5,930.0,3.3,394,S,2A,3413
2017-06-08 01:17:14.579022080,79.47,25.02,2206.0,38.0,1796.0,39.0,1282.0,35.2,94,S,2A,3413
2020-05-22 00:58:28.579023872,79.47,25.02,1488.0,81.0,1208.0,80.9,868.0,80.9,115,S,2B,3413
2018-05-05 12:06:43.579023872,79.47,25.02,1885.0,137.0,1489.0,149.6,1156.0,112.8,9,S,2B,3413
2018-10-26 12:37:51.079021824,79.47,25.02,2079.0,4.0,1704.0,3.9,1191.0,3.6,380,S,2B,3413
2017-10-09 12:47:00.579023616,79.47,25.02,2205.0,4.0,1807.0,4.3,1264.0,4.0,360,S,2A,3413
2021-06-04 12:28:34.079024128,79.47,25.02,1477.0,33.0,1174.0,30.6,896.0,36.6,80,S,2A,3413
2019-07-01 11:58:48.579022336,79.47,25.02,2048.0,35.0,1681.0,36.5,1171.0,32.5,70,S,2A,3413
2019-01-07 12:47:48.079024128,79.47,25.02,2063.0,6.0,1691.0,6.1,1181.0,6.9,330,S,2A,3413
2016-07-11 12:47:22.579023872,79.47,25.02,2639.0,36.0,2124.0,35.8,1567.0,35.7,69,S,2A,3413
2020-05-08 01:18:30.079022336,79.47,25.02,1502.0,32.0,1193.0,30.0,911.0,34.1,95,S,2B,3413
2016-05-26 13:17:16.079024128,79.47,25.02,2391.0,31.0,1913.0,34.1,1435.0,24.9,80,S,2A,3413
2019-12-21 00:48:39.079021824,79.47,25.02,1725.0,5.0,1415.0,4.9,987.0,6.3,364,S,2A,3413
2017-04-22 11:56:42.579023872,79.47,25.02,2169.0,44.0,1729.0,47.0,1308.0,37.3,30,S,2A,3413
2019-12-11 15:04:22.840176896,79.47,25.02,1780.0,58.0,1487.0,66.9,979.0,30.2,6,S,1B,3413
2021-02-19 12:28:42.079022080,79.47,25.02,1580.0,4.0,1295.0,3.8,904.0,3.9,339,S,2B,3413
2021-07-02 00:28:36.079022080,79.47,25.02,1644.0,18.0,1334.0,19.0,960.0,16.0,135,S,2A,3413
